name,typical_majors,all_eligible_classifications,typical_classifications,eligible_races,eligible_gender,eligible_sexuality,meeting_frequency,meeting_times,meeting_locations,dues_required,dues_cost,application_required,application_difficulty,time_commitment,member_count,club_type,competitive_or_non_competitive,leadership_roles_available,new_member_onboarding_process,typical_activities,required_skills,offered_skills_or_benefits,club_culture_style,inclusivity_focus,expected_member_traits,administrative_contact_info,website,national_local_affiliation,bio
Maternal and Child Border Health Organization,,,Undergraduate,,,,,,,No,,No,Low,Medium,20-50,Service,No,Yes,,Volunteering,,"Networking, Mentorship",Social,,Interest-driven,,,,"The Maternal and Child Border Health Organization (MCBHO) is dedicated to advancing advocacy and support for maternal and child health within border communities. The organization fosters interdisciplinary collaboration, advocacy, and community service initiatives that promote maternal and child health in the border region."
Mays MBA Association,"Business, Finance, Accounting, Marketing, Economics",,Graduate,,,,,,,Yes,,No,Low,Medium,0-20,Professional,No,Yes,,Social events,,Networking,Social,,Interest-driven,,,,"Serve as a liaison amongst the MBA classes, programs, peers, and former students, enriching the MBA experience inside and outside the classroom by building a community of learning and camaraderie."
McAllen Aggie Baptist Student Ministry (BSM),,,Undergraduate,,,,,,,No,,No,Low,Medium,20-50,Service,No,Yes,,"Social events, Volunteering",,"Networking, Mentorship",Social,,Interest-driven,csilkwood@cvm.tamu.edu,https://www.txbsm.org,,To study and share the word of God and message of Jesus Christ.
McAllen Aggies All In,,,Undergraduate,,,,Monthly,,,No,,No,Low,Medium,20-50,Service,No,Yes,,Volunteering,,Networking,Social,,Interest-driven,areli.bernal07@tamu.edu,https://www.instagram.com/aggiesallin/,,"The purpose is to aim at serving others and the community throughout the Rio Grande Valley, providing the highest level of compassion and service while fulfilling duties as a valued volunteer member."
McAllen Agricultural Economics Club,"Agricultural Economics, Economics",Undergraduate,"Junior, Senior",,,,,,,No,,No,Low,Medium,0-20,Professional,No,Yes,,"Social events, Volunteering",,"Networking, Mentorship",Social,,Interest-driven,katherine_rdz04@tamu.edu,,No,The McAllen Agricultural Economics Club is a recognized student organization focused on developing students into industry leaders. We provide students interested in agricultural economics and related fields a platform to collaborate and network.
MD Plus Student Organization,"Biology, Pre-Med, Health Sciences",,"Junior, Senior, Graduate",,,,,,,No,,No,Low,Medium,0-20,Professional,No,Yes,,"Social events, Workshops",,"Networking, Mentorship",Social,,Interest-driven,mdplus@tamu.edu,,,"Our mission is to empower and unite MD+ students at Texas A&M Naresh K. Vishisht College of Medicine by providing resources, fostering camaraderie, and organizing educational and social events."
Mechanical Engineering Female Grad Students,Engineering,,"Junior, Senior, Graduate",,Women,,,,,No,,No,Low,Medium,20-50,Professional,No,Yes,,"Workshops, Social events, Volunteering",,"Networking, Mentorship",Social,,Interest-driven,mefegs@tamu.edu,https://www.mefegstamu.org,No,"Our organization aims at performing outreach activities and providing a supportive and collaborative community among the female graduate students in the Mechanical Engineering department, mentoring female students through their graduate studies, and motivating and encouraging female graduate students to pursue a career in academia/industry."
Mechanical Engineering Graduate Student Organization,Engineering,,"Junior, Senior, Graduate",,,,,,,No,,No,Low,Medium,20-50,Professional,No,Yes,,"Social events, Knowledge exchange",,"Networking, Mentorship",Social,,Interest-driven,megso@tamu.edu,https://tamumegso.org,No,"The purpose is to promote positive communication within the Mechanical Engineering Graduate Program at Texas A&M University through regular member meetings, social activities, knowledge exchange and contact with the ME faculty."
Medical Ethics at A&M,"Biology, Pre-Med, Health Sciences",,Undergraduate,,,,,,,No,,No,Low,Medium,20-50,Service,No,Yes,,Volunteering,,"Networking, Mentorship",Social,,Interest-driven,Meam.tamu@gmail.com,,,"Medical Ethics at A&M (MEAM) envisions a campus community where students are actively engaged in ethical discourse, socially responsible service, and advocacy for equitable healthcare. This can be accomplished through education, outreach, and upholding an ethical responsibility in advancing healthcare."
Medical Group Management Association,"Biology, Pre-Med, Health Sciences",,"Junior, Senior, Graduate",,,,,,,No,,No,Low,Medium,20-50,Professional,No,Yes,,"Networking, Workshops",,"Networking, Leadership development",Professional,,Interest-driven,tamu.mha.orgs@gmail.com,http://mgma.tamu.edu,,"The Medical Group Management Association (MGMA) student chapter was established in 2002 to promote professionalism, networking, leadership, and learning among its members. All concentrations are encouraged to become active participants of MGMA."
Medical Journaling at A&M,"Biology, Pre-Med, Health Sciences",,"Junior, Senior",,,,Bi-weekly,,,No,,No,Low,Medium,20-50,Academic,No,Yes,,Projects,,Networking,Academic-focused,,Interest-driven,,,,"As a medical journal club, our goal is to support fellow premedical students in their journey through supplemental education by using medical literature and by utilizing skills based in scientific research needed for a career in healthcare."
Medical Students for Choice,"Biology, Pre-Med, Health Sciences",,"Junior, Senior, Graduate",,,,,,,No,,No,Low,Medium,20-50,Professional,No,Yes,,"Workshops, Social events",,"Networking, Mentorship",Social,,Interest-driven,,,,Expose and educate medical students to the practice of reproductive healthcare and family planning in the state of Texas. Provide opportunities for medical students to learn from leaders in the field and facilitate discussion within our student community. MSFC aims to foster open discussion of contraception and reproductive health choices.
MEDLIFE,"Biology, Pre-Med, Health Sciences",Undergraduate,Undergraduate,,,,,,,,,No,Low,Medium,20-50,Service,No,Yes,,"Volunteering, Trips",,"Networking, Mentorship",Very active,,Interest-driven,medlife.president.tamu@gmail.com,http://tamumedlife.wixsite.com/tamumedlife,No,"MEDLIFE's mission is to build a worldwide Movement empowering low income families in their fight for equal access to healthcare, education, and a safe home. We partner with low-income communities in Latin America and Africa to improve their access to medicine, education, and community development projects."
Memorial Student Center Council,,,Undergraduate,,,,,,,,,No,Low,Medium,100+,Social,No,Yes,,"Social events, Volunteering",,"Networking, Leadership development",Social,,Interest-driven,president@msc.tamu.edu,https://mscprograms.tamu.edu/msc-council/,No,"The Memorial Student Center (MSC) Council is a recognized student organization at Texas A&M University. With a longstanding tradition of student-led programming, the MSC Council has supported 75 generations of Aggies in developing as individuals, leaders, and engaged members of the community."
Memorial Student Center Programs,,,Undergraduate,,,,,,,No,,No,Low,Medium,50-100,Service,No,Yes,,"Social events, Volunteering",,"Networking, Leadership development",Social,,Interest-driven,,https://mscprograms.tamu.edu,No,"As a department in the Division of Student Affairs, Memorial Student Center (MSC) Programs promotes leadership development and experiential learning opportunities through academic, entertainment, social, arts, political and cultural awareness campus programs and service opportunities while preparing students to engage in a global society."
Men in Nursing,,,"Junior, Senior, Graduate",,Men,,Monthly,,,No,,No,Low,Medium,20-50,Professional,No,Yes,,"Social events, Volunteering",,"Networking, Mentorship",Social,,Interest-driven,tamumeninnursing@gmail.com,https://www.aamn.org,No,"The purpose and mission of our student organization, Men in Nursing, is to recruit Aggies who are interested in the nursing profession and provide a framework for Aggie nursing students and faculty members within the Texas A&M University - College of Nursing to collaborate and discuss positive differences between men and women who shape practice, education, research, and leadership to humanize healthcare."
Men's Club Basketball,,,Undergraduate,,,,,,,Yes,,No,Low,High,20-50,Sports,Yes,Yes,,Competitions,,Networking,Athletic,,High commitment,tamuclubbasketball@gmail.com,,,To provide an opportunity for Texas A&M students to compete in basketball against other schools around the nation at a high level.
Men's Lacrosse Team of Texas A&M University,,,Undergraduate,,Men,,,,,Yes,,No,Low,High,20-50,Sports,Yes,Yes,,Competitions,,Networking,Athletic,,High commitment,tamumenslacrosse@gmail.com,http://aggielacrosse.com,,To promote the sport of lacrosse at Texas A&M University and to compete on a national level.
Men's Volleyball,,,Undergraduate,,Men,,,,,,,No,Low,High,20-50,Sports,Yes,Yes,,"Competitions, Trips",Tryout,"Networking, Leadership development",Athletic,,High commitment,tamumensvball@gmail.com,,,"Texas A&M Men's Volleyball diligently works on the court and in the classroom to provide a competitive volleyball experience. As a student-run organization, we fundraise to travel and compete on the national level."
Mens Waterpolo,,,Undergraduate,,Men,,,,,Yes,,No,Low,High,20-50,Sports,Yes,Yes,,Competitions,,Networking,Athletic,,High commitment,tamuwaterpolo.president@gmail.com,https://aggiewaterpolo.com/,,"The Men’s Water Polo club trains students to compete on a state and national scale, focusing on swimming, agility, ball sense, and ball handling."
Mentorship in Ocean Engineering,Engineering,Undergraduate,"Junior, Senior",,,,,,,No,,No,Low,Medium,20-50,Professional,No,Yes,,Networking,,"Networking, Mentorship",Professional,,Interest-driven,,,,"To create an environment in which undergraduate Ocean Engineers can develop their professional network, excel academically, and become part of a community from the moment they are accepted into the program to the time they graduate."
Mexican Student Association,,,Undergraduate,"Hispanic, Latino",,,,,,,,No,Low,Low,100+,Cultural,No,Yes,,"Social events, Volunteering",,Networking,Social,,Interest-driven,msaaggie@gmail.com,https://www.msaaggie.com,,"Since 1975, the Mexican Student Association has proudly served as 'A Home Away From Home' for Latinx Aggies! We provide Texas A&M Latinx students with opportunities to embrace and celebrate their rich cultural heritage through cultural events, sports, social gatherings, service opportunities, and more."
Militia of the Immaculata,,,Undergraduate,,,,,,,No,,No,Low,Medium,0-20,Cultural,No,Yes,,Social events,,Networking,Social,,Interest-driven,militia.immaculata.TAMU@gmail.com,,,"The purpose of the MI consists of collaborating in the conversion and sanctification of all, thus obtaining the greatest glory of the Most Holy and Undivided Trinity. MI members live their own baptismal consecration by welcoming the gift of the Redeemer from the Cross."
"Minorities in Agriculture, Natural Resources and Related Sciences",,,Undergraduate,,,,,,,No,,No,Low,Medium,20-50,Cultural,No,Yes,,"Workshops, Social events, Volunteering",,"Networking, Mentorship, Leadership development",Social,,Interest-driven,tamumanrrs@gmail.com,http://manrrs.org,Yes,"The purpose of MANRRS is to increase the number of students from underrepresented backgrounds studying agriculture and related fields at undergraduate and graduate levels, develop leadership, communication, and professional skills in students, foster a bond of fellowship among students, faculty, staff, and administrators in the college, and promote career and academic counseling for undergraduate and graduate students."
